mfa_enabled,firewall_active,password_min_length,special_chars_required,total_tasks,completed_tasks,evidence_complete_tasks,risk_level,compliance_score
1,0,14,1,15,11,4,2,55.1
1,1,10,1,15,4,0,1,66.8
1,0,14,0,15,15,7,2,58.5
1,1,8,1,6,5,5,0,85.4
1,0,14,1,4,2,1,2,52.8
1,1,14,1,4,3,0,1,76.9
1,1,10,0,14,3,1,1,63.5
1,1,8,1,19,13,12,0,80.5
1,1,12,1,3,3,0,1,78.1
1,1,14,0,13,1,0,1,66.6
1,1,16,1,2,0,0,1,67.0
1,1,12,1,5,5,1,0,82.2
1,1,16,1,11,4,4,0,82.2
1,1,14,1,12,1,0,1,68.2
1,1,10,1,18,1,0,1,65.7
1,1,12,1,8,6,5,0,89.6
0,1,14,1,7,2,1,2,50.2
0,0,4,1,10,10,2,3,18.9
0,1,14,1,14,2,0,2,47.6
1,1,14,1,14,9,2,1,77.6
1,1,8,1,14,9,0,1,68.9
0,0,10,1,18,18,11,3,35.7
1,0,14,0,3,1,1,2,49.8
0,1,14,1,3,2,2,1,65.1
1,1,8,0,16,10,6,1,72.9
0,1,12,1,20,9,9,2,59.4
0,0,12,1,10,9,0,3,27.7
0,1,12,1,5,4,2,1,63.5
1,0,14,0,5,5,3,1,60.1
1,1,12,1,17,1,1,1,73.8
0,1,12,0,14,12,6,2,58.5
1,0,8,1,12,0,0,3,36.8
1,1,8,1,18,7,6,1,73.2
1,1,12,0,10,7,6,0,86.5
1,1,8,0,12,6,4,1,67.3
1,1,12,1,19,12,7,0,81.9
1,0,4,0,11,10,2,3,37.2
1,1,8,0,17,3,3,1,64.0
1,0,12,0,2,2,2,1,72.7
1,1,12,1,3,1,1,0,82.4
1,1,12,1,6,2,1,1,75.3
1,1,8,0,14,11,10,0,81.8
1,1,14,0,13,6,2,1,70.1
1,0,12,1,7,6,1,2,57.1
0,0,12,0,4,3,2,3,32.2
1,1,8,1,16,4,0,1,67.9
1,1,12,1,19,0,0,1,67.4
1,1,10,1,8,0,0,1,65.6
1,0,16,1,12,5,5,2,56.7
1,1,8,1,11,1,1,1,68.5
1,1,10,0,7,4,3,1,73.1
0,1,12,1,7,2,0,2,45.2
1,1,10,1,18,9,7,1,73.0
1,0,12,1,2,1,0,2,52.6
0,0,12,1,18,4,4,3,23.8
1,0,8,0,20,1,0,3,32.3
1,0,14,0,4,3,1,2,53.1
1,1,14,1,20,7,1,1,75.6
1,1,8,0,11,1,0,2,56.9
0,1,12,1,3,0,0,2,44.6
0,1,12,1,19,1,0,2,42.6
0,1,12,1,16,2,0,2,45.0
0,1,10,0,16,4,1,3,34.8
1,1,6,1,2,2,0,1,63.8
0,1,16,1,14,0,0,2,47.2
1,1,8,0,18,16,7,1,72.3
1,0,16,0,5,5,3,1,61.2
1,1,14,0,7,6,2,0,80.7
1,1,6,1,18,5,1,1,60.2
1,1,14,0,19,18,10,0,82.7
1,1,10,0,8,1,0,2,59.1
0,1,10,1,16,1,1,3,37.7
0,0,12,0,7,5,2,3,25.7
0,1,14,1,15,14,6,1,64.1
1,1,6,1,20,5,4,1,61.4
0,1,12,0,7,7,7,1,69.0
1,1,10,0,19,7,2,1,66.7
1,1,14,1,17,1,1,1,71.5
1,1,8,1,8,1,0,1,62.7
1,0,10,1,3,0,0,3,38.5
0,1,8,1,15,14,12,1,64.1
1,1,4,1,1,0,0,2,53.6
1,0,14,1,20,17,6,2,56.8
1,1,4,1,12,0,0,2,55.9
1,0,6,1,3,1,0,3,36.0
1,0,10,0,19,6,6,2,43.6
1,1,12,1,9,0,0,1,69.8
1,1,12,1,18,17,9,0,92.3
0,1,8,1,3,1,1,2,45.5
1,1,14,1,6,2,0,1,74.1
1,0,8,1,10,6,5,2,54.9
0,1,14,1,10,3,0,2,47.0
1,1,12,1,19,10,10,0,87.8
1,1,8,1,15,14,4,1,76.0
0,1,16,1,12,4,0,2,46.3
1,1,12,1,18,9,2,1,75.1
1,1,10,1,8,1,0,1,62.5
1,0,10,1,2,2,1,2,58.2
1,1,16,1,4,0,0,1,67.9
1,1,14,1,18,16,10,0,91.5
1,1,8,0,19,4,4,1,64.2
1,1,14,1,2,0,0,1,67.6
0,1,14,1,2,2,2,1,73.2
1,1,10,1,3,3,0,1,73.1
1,1,10,1,2,2,1,0,80.1
1,1,6,1,12,5,2,1,62.2
0,1,16,1,14,12,7,1,66.0
0,0,10,1,5,4,4,3,39.9
0,1,8,0,3,3,0,2,42.8
0,1,12,0,19,4,1,2,45.1
1,1,4,0,19,9,7,1,60.7
1,1,12,0,16,3,2,1,67.1
1,1,10,1,9,7,1,1,71.5
1,1,14,0,16,3,2,1,66.7
1,0,10,1,11,7,2,2,50.7
1,1,12,1,2,1,1,0,83.1
1,1,14,1,4,4,1,0,83.8
1,0,12,1,12,1,1,2,47.4
0,1,14,1,11,2,0,2,47.2
1,1,10,1,17,17,17,0,90.7
1,1,6,1,5,0,0,2,57.9
1,0,14,0,17,10,2,2,50.4
1,0,16,1,5,5,1,1,60.6
1,1,4,0,4,0,0,2,51.8
0,1,6,1,17,1,1,3,33.3
1,0,12,0,4,4,1,2,52.9
1,1,14,1,9,9,5,0,91.1
1,1,16,0,3,0,0,1,66.5
1,1,10,1,1,0,0,1,61.1
1,1,12,1,4,1,1,1,79.1
0,0,14,1,11,1,1,3,23.1
1,1,10,1,2,0,0,1,64.1
0,1,8,0,15,7,6,2,47.7
0,1,12,1,16,11,2,2,54.5
1,1,16,1,3,0,0,1,72.4
1,1,12,1,6,0,0,1,67.7
0,1,12,0,14,11,7,2,59.6
1,1,16,1,13,5,3,1,76.3
0,1,12,0,15,3,0,3,39.6
1,1,10,1,2,0,0,1,60.9
1,1,12,1,20,19,3,0,82.3
1,1,8,1,10,10,7,0,87.3
1,1,10,1,2,1,0,1,65.2
1,0,12,1,18,9,2,2,49.9
1,0,6,0,16,15,15,2,53.7
1,1,6,1,13,9,5,1,67.4
1,1,12,1,12,5,5,0,82.1
0,0,8,0,12,6,2,3,13.8
1,0,8,1,3,2,0,2,46.8
0,1,12,1,19,16,13,1,66.4
0,1,12,0,13,5,4,2,50.0
0,1,8,1,11,2,2,2,46.3
0,1,12,1,3,1,1,2,55.7
0,1,12,1,3,0,0,2,44.1
1,1,12,0,3,2,2,0,84.4
1,1,14,1,20,16,14,0,92.1
0,1,12,1,6,4,3,1,64.3
1,0,8,1,18,13,9,2,53.7
1,1,6,0,10,6,3,1,61.5
0,1,10,0,10,10,2,2,45.2
1,1,10,1,8,4,3,1,73.7
0,1,12,0,9,2,0,2,44.3
1,0,12,1,16,0,0,2,47.4
1,1,10,1,14,14,5,0,82.2
1,1,16,1,8,1,0,1,69.8
1,1,14,1,3,1,0,1,75.2
0,0,16,1,8,6,1,3,28.5
1,1,6,1,19,1,1,2,56.4
1,1,14,0,8,4,1,1,75.3
1,1,8,1,20,1,0,1,62.4
0,1,14,1,12,12,10,1,74.1
0,1,8,0,13,4,2,2,41.5
1,0,14,1,15,10,10,1,67.6
1,1,16,0,16,13,13,0,87.3
1,1,14,1,9,8,1,0,80.8
1,1,6,1,1,0,0,2,55.8
0,0,12,1,11,9,1,3,30.9
1,1,10,1,5,4,3,0,81.6
0,1,8,1,19,10,4,2,50.1
1,1,12,1,19,7,0,1,76.1
1,0,10,1,15,6,2,2,43.2
1,0,12,1,3,2,0,2,54.2
0,0,16,1,15,15,3,3,32.6
1,0,8,1,16,12,2,2,49.4
1,0,8,0,7,6,1,2,45.1
1,1,4,0,8,5,4,1,65.2
1,1,12,0,13,10,3,1,74.9
1,1,10,1,2,0,0,1,64.0
0,1,8,1,20,1,0,3,37.7
0,1,16,1,18,1,0,2,43.3
1,1,8,1,11,11,8,0,87.5
0,1,12,1,9,5,3,2,55.8
1,1,14,0,11,6,1,1,74.4
0,0,4,0,15,1,0,3,1.9
0,1,12,1,14,1,1,2,47.1
0,1,8,0,5,0,0,3,33.1
0,1,4,1,9,9,9,2,58.1
1,1,4,1,3,1,1,1,66.1
1,0,8,0,13,5,4,2,42.8
1,1,4,1,16,14,10,1,77.2
0,1,14,0,15,10,9,1,60.5
1,0,16,1,3,3,0,2,52.5
1,1,14,1,7,2,1,1,73.4
1,1,12,0,16,13,11,0,87.9
1,1,10,1,12,8,3,1,74.2
1,1,10,0,14,12,5,1,72.8
1,1,12,0,15,7,2,1,72.1
0,0,16,1,3,3,2,3,43.5
1,1,12,1,10,9,0,1,78.5
0,0,12,0,15,8,5,3,28.0
1,0,10,1,6,6,1,2,50.2
1,1,16,1,15,14,9,0,89.6
0,1,4,0,3,2,2,2,43.0
1,1,12,1,16,14,11,0,91.3
1,1,10,0,20,11,11,1,72.3
1,1,8,0,1,0,0,2,57.9
1,1,14,0,5,5,1,1,77.8
1,0,16,1,15,4,3,2,51.3
1,1,8,1,16,15,0,1,74.4
0,1,10,1,2,1,0,2,43.0
1,0,10,1,19,19,17,1,67.2
1,1,8,0,16,7,0,1,64.7
0,1,12,1,14,14,7,1,64.6
0,1,8,0,6,2,2,2,45.5
0,1,12,1,11,9,7,1,67.9
1,1,12,0,12,12,7,0,88.2
0,1,6,1,16,4,1,3,36.7
1,1,10,0,10,3,1,1,64.1
1,0,6,1,6,6,6,1,60.7
1,1,14,1,4,4,1,0,86.6
1,1,12,0,18,8,2,1,69.0
1,1,14,1,15,14,13,0,98.8
1,0,6,0,4,4,0,3,34.2
1,0,12,0,10,7,7,2,58.8
1,0,14,1,7,7,6,1,70.9
1,1,10,1,6,0,0,1,60.9
0,1,10,1,17,13,12,2,59.5
1,1,12,1,17,11,0,1,73.9
1,0,6,1,11,5,3,2,41.0
1,1,14,1,5,4,0,0,80.8
1,1,12,0,14,6,5,1,75.5
1,1,8,1,9,8,2,1,78.1
1,0,8,0,15,11,10,2,52.7
0,0,12,1,5,4,4,3,45.5
1,1,8,1,6,0,0,1,61.8
1,1,8,1,14,8,1,1,67.9
1,0,8,0,4,3,2,2,52.0
1,0,8,1,19,18,17,1,67.3
1,0,8,1,19,4,3,2,45.2
0,1,10,0,12,7,1,2,40.0
1,1,12,1,5,3,1,0,80.1
1,1,16,1,13,13,4,0,88.8
0,0,12,0,14,13,2,3,28.4
1,0,8,1,17,3,1,2,43.5
0,1,8,1,4,4,3,1,60.7
0,0,6,1,10,5,2,3,13.5
0,1,4,1,10,4,1,3,33.4
1,1,16,1,2,1,1,0,84.9
1,1,10,1,20,4,1,1,68.2
1,1,8,0,11,1,1,1,61.7
1,1,12,1,15,8,1,1,77.9
0,1,12,0,18,3,0,2,42.1
0,1,8,0,7,7,0,2,44.7
1,1,10,0,8,7,1,1,71.4
0,0,12,1,1,1,1,3,47.5
0,0,14,0,4,4,1,3,32.7
0,1,8,0,6,0,0,3,30.9
1,1,6,0,11,4,3,2,59.7
1,1,8,1,8,7,6,0,84.1
1,0,12,1,1,1,0,2,52.6
1,1,14,1,18,4,2,1,76.1
1,1,12,1,5,2,2,0,84.5
1,1,12,1,15,1,0,1,68.7
1,1,10,1,2,1,1,1,78.8
0,1,12,0,19,16,9,2,57.3
1,0,12,1,4,1,1,2,54.8
1,1,8,1,11,10,4,1,78.3
0,1,12,0,7,7,5,1,64.1
1,1,10,1,1,0,0,1,60.5
1,1,14,1,3,0,0,1,69.1
1,1,6,1,6,6,6,0,83.2
1,1,12,0,1,0,0,1,66.9
1,1,4,1,10,3,1,1,61.2
0,1,10,1,20,6,0,2,41.4
0,1,12,1,16,5,4,2,51.2
0,1,14,1,19,4,0,2,48.5
1,1,12,0,9,3,0,1,68.7
1,1,6,1,15,0,0,2,54.6
1,1,10,1,14,4,0,1,68.2
1,1,8,1,8,0,0,1,62.0
1,1,6,0,19,0,0,2,48.0
0,1,4,1,10,1,0,3,33.6
1,1,14,1,9,3,0,1,73.5
1,1,12,0,8,1,1,1,66.1
1,1,14,0,2,1,1,0,81.8
0,1,12,0,2,1,1,2,54.3
0,1,12,0,4,4,3,1,64.3
1,1,16,1,14,14,9,0,92.6
0,0,12,1,11,9,3,3,35.7
0,1,12,1,19,4,4,2,49.8
1,1,16,1,2,0,0,1,68.9
1,1,8,1,18,4,1,1,66.4
1,1,14,1,5,0,0,1,68.2
1,1,12,1,7,3,0,1,74.9
1,1,10,0,11,9,9,0,82.3
1,1,12,1,2,1,0,1,73.3
0,0,16,1,16,10,6,3,31.2
